valence,year,acousticness,artists,danceability,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,Genre,duration_min
0.625,2015,0.762,"['Lin-Manuel Miranda', 'Anthony Ramos', 'Okieriete Onaodowan', 'Daveed Diggs', 'Original Broadway Cast of Hamilton']",0.494,0.237,0,0NJWhm3hUwIZSy5s0TGJ8q,0.0,4,0.435,-60.0,1,The Story of Tonight,71.0,25/09/2015,0.052,95.219,Pop Rock,1.533
0.04,2015,0.214,['NF'],0.51,0.643,0,5DHQKZCOZhGNTbYBCekWx0,0.0,0,0.101,-60.0,1,Paralyzed,75.0,31/03/2015,0.048,130.081,Pop,4.508
0.395,2015,0.051,['Rihanna'],0.781,0.728,1,0NTMtAO2BV4tnGvw9EgBVq,0.0,1,0.257,-60.0,1,Bitch Better Have My Money,76.0,26/03/2015,0.062,102.99,Indie Pop,3.655
0.274,2015,0.762,"['Leslie Odom Jr.', 'Lin-Manuel Miranda']",0.598,0.221,0,2sEq2rC3ynYsT49x7utWnd,0.0,9,0.072,-10.484,1,Dear Theodosia,71.0,25/09/2015,0.03,106.771,Pop Rock,3.067
0.376,2015,0.028,['Chris Young'],0.575,0.845,0,0H04yVa3DJxoXbLBpAb7iV,0.0,10,0.081,-60.0,1,I'm Comin' Over,69.0,13/11/2015,0.035,127.997,R&B,3.288
0.489,2015,0.006,['Kendrick Lamar'],0.884,0.657,1,0N3W5peJUQtI4eyR6GJT5O,0.0,6,0.154,-60.0,0,King Kunta,74.0,16/03/2015,0.098,107.059,Indie Pop,3.912
0.793,2015,0.59,['Justin Bieber'],0.845,0.567,0,4B0JvthVoAAuygILe3n4Bs,0.001,5,0.081,-60.0,0,What Do You Mean?,78.0,13/11/2015,0.096,125.02,Pop,3.428
0.511,2015,0.271,"['Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Daveed Diggs', 'Okieriete Onaodowan', 'Original Broadway Cast of Hamilton']",0.638,0.49,0,2TK2KSrzXD6W01qjXVjNGh,0.0,4,0.435,-60.0,0,The Room Where It Happens,71.0,25/09/2015,0.292,173.552,Hip-Hop,5.304
0.577,2015,0.684,"['Thayne Jasperson', 'Lin-Manuel Miranda', 'Original Broadway Cast of Hamilton']",0.795,0.409,0,2G9lekfCh83S0lt2yfffBz,0.0,9,0.055,-60.0,0,Farmer Refuted,71.0,25/09/2015,0.372,77.879,Pop,1.879
0.319,2015,0.223,['Halsey'],0.731,0.58,1,2IO7yf562c1zLzpanal1DT,0.0,10,0.129,-7.328,0,Gasoline,73.0,28/08/2015,0.04,119.997,R&B,3.327
0.51,2015,0.297,['Original Broadway Cast of Hamilton'],0.76,0.883,1,733tju3KUeatsbjcTRQ04i,0.0,9,0.435,-60.0,0,Yorktown (The World Turned Upside Down),71.0,25/09/2015,0.25,98.012,Pop,4.043
0.174,2015,0.762,['Andra Day'],0.398,0.316,0,0tV8pOpiNsKqUys0ilUcXz,0.0,1,0.295,-7.031,1,Rise Up,76.0,28/08/2015,0.037,118.582,Indie Pop,4.222
